name,type,lat,long
Mount Airy Playground,picnic table,40.0576814926327,-75.188334667192
Mount Airy Playground,picnic table,40.0575971990891,-75.1876291462282
Mount Airy Playground,picnic table,40.0576660296933,-75.188021787764
Fish Hatchery at Pleasant Hill Park,picnic table,40.0427638499947,-74.9931476088854
Fish Hatchery at Pleasant Hill Park,picnic table,40.0431492492045,-74.9930041510627
Hawthorne Cultural Center,picnic table,39.9389629267984,-75.1646248557405
Charles A Russo Playground,picnic table,40.0301426397453,-75.0343562241594
William H (Billy) Markward Memorial Playground,picnic table,39.9478152292205,-75.1833689981312
William H (Billy) Markward Memorial Playground,picnic table,39.9480701551303,-75.1830850973736
Haddington-Marshall L Shepard Sr Recreation Center,picnic table,39.9668996201693,-75.2344052554166
Thomas B Smith Recreation Center,picnic table,39.9259207076573,-75.1869964600657
Starr Garden Playground,picnic table,39.9426897104079,-75.152770951411
Torresdale and Enfield Fields,picnic table,40.0388186401991,-75.0206843573764
Triangle Park,picnic table,39.983532754542,-75.231784872931
Ernest L Tustin Recreation Center,picnic table,39.9821052160419,-75.2411926445716
Vernon Park,picnic table,40.0357546967114,-75.176963310991
Verree and Susquehanna Playground,picnic table,40.0807922461985,-75.0672262977702
Parkside Evans Recreation Center,picnic table,39.9821965048874,-75.2262903944324
West Mill Creek Playground,picnic table,39.9670061589245,-75.2224279998287
Wissahickon Environmental Center,picnic table,40.0809101940743,-75.2342562884721
Wissahickon Environmental Center,picnic table,40.0813209189519,-75.2343905735552
Wissahickon Environmental Center,picnic table,40.0812759471981,-75.2337504269997
Wissinoming Park,picnic table,40.0244968799198,-75.0693678706666
Woodside Park,picnic table,40.0023230970908,-75.2089680705318
William Lanier Park,picnic table,39.9334286826292,-75.1940266591335
Stenton Park,picnic table,40.0243359958654,-75.1526699733037
Stenton Park,picnic table,40.0240129771908,-75.1525199790529
Fernhill Park,picnic table,40.016071150033,-75.1701259886642
Disston Recreation Center,picnic table,40.0279835974537,-75.0440577573673
Garland and Bingham Fields,picnic table,40.0342446308556,-75.1104689169582
Mount Airy Playground,picnic table,40.0576633037348,-75.1877070238472
Mount Airy Playground,picnic table,40.0577580244369,-75.1884807762762
Water Tower Recreation Center,picnic table,40.075869632944,-75.2004581561743
Water Tower Recreation Center,picnic table,40.075358729772,-75.2004674321435
Corporal George J Reed Jr Memorial Playground,picnic table,40.0027542627273,-75.1332141598939
Stephen E Fotterall Square,picnic table,39.9902025836948,-75.1510057452963
37th and Mount Vernon Playground,picnic table,39.9640265000122,-75.1964475623173
East Fairmount Park,picnic table,39.982367744086,-75.1893338458756
Clarence H Clark Park,picnic table,39.947852653234,-75.2108936688046
Clarence H Clark Park,picnic table,39.9477482336131,-75.2107771469102
Clarence H Clark Park,picnic table,39.9470968957913,-75.209286124865
Cobbs Creek Park,picnic table,39.9534127662704,-75.2493542178093
Bartrams Garden,picnic table,39.9304182740947,-75.2135982828577
Bartrams Garden,picnic table,39.9304159918273,-75.2134088607197
Jacob Stinger Park,picnic table,39.9364231161223,-75.1973904335459
Thomas B Smith Recreation Center,picnic table,39.9258681962043,-75.1867973007557
Thomas B Smith Recreation Center,picnic table,39.9262624304845,-75.1872053848718
Thomas B Smith Recreation Center,picnic table,39.9262097415656,-75.1873054640878
Thomas B Smith Recreation Center,picnic table,39.9262309692302,-75.1875385005152
Thomas I Guerin Recreation Center,picnic table,39.9232493674887,-75.1727252819848
Franklin Square,picnic table,39.955743131972,-75.1500043895907
Shot Tower Recreation Center,picnic table,39.9348694014566,-75.1463822543125
Victor J Moss Memorial Field,picnic table,40.0159999098451,-75.0627750364253
Karen Donnelly Park,picnic table,39.9290742514563,-75.1493640716562
Bartrams Garden,picnic table,39.9333643608504,-75.2084898204689
Bartrams Garden,picnic table,39.9310207327893,-75.2134071157234
Bartrams Garden,picnic table,39.9302469196217,-75.2125034601388
Roberto Clemente Playground,picnic table,39.9656168034295,-75.1675309581077
Pennypack on the Delaware,picnic table,40.0329861914802,-75.00782961054
Pine Road Picnic Shelter,picnic table,40.0884393967844,-75.0674991205384
Pennypack Park,picnic table,40.0877865697179,-75.0592863899755
Wissahickon Valley Park,picnic table,40.054368792122,-75.2182381709891
Wissahickon Valley Park,picnic table,40.036644300236,-75.2044771654692
Glen Foerd on the Delaware,picnic table,40.0531245099825,-74.9802407869074
Pennypack Park,picnic table,40.0668560127731,-75.0504980537075
Pennypack Park,picnic table,40.0728095355157,-75.068768482581
Verree and Susquehanna Playground,picnic table,40.0804926710794,-75.0675212314871
Pennypack Park,picnic table,40.0881962149527,-75.0677235601093
Pennypack Park,picnic table,40.089702646189,-75.0688476239762
Burholme Park,picnic table,40.0689754983393,-75.0900956892709
Fox Chase Farm,picnic table,40.0902694777943,-75.074883253751
Fox Chase Farm,picnic table,40.0907779498259,-75.0739220561001
Ann P Nichols Park,picnic table,39.963598207947,-75.2295329245527
John J McCreesh Sr Playground,picnic table,39.9256319412531,-75.2406705228537
Gold Star Park,picnic table,39.9328892521961,-75.1550785664018
Historic Rittenhouse Town,picnic table,40.0290638570426,-75.1919757396993
Hancock Playground,picnic table,39.9724026368279,-75.1372195400143
Hancock Playground,picnic table,39.9727594899265,-75.1374011352252
Miles Mack Playground,picnic table,39.9672009914504,-75.1960874799816
8th and Diamond Playground,picnic table,39.9833228554078,-75.1472777132254
Fisher Park,picnic table,40.0435518823966,-75.1306880139973
Carmella DiTizio Playground,picnic table,40.0111590447148,-75.0731958128124
Dr Martin Luther King Jr Recreation Center,picnic table,39.9803390412827,-75.1694186977754
Columbus Square,picnic table,39.9329591616671,-75.1643945956735
Jacob Stinger Park,picnic table,39.9359853188519,-75.1982212186152
Marie Dendy Recreation Center,picnic table,39.9752066645697,-75.1511344715391
Benson Park,picnic table,39.9735685396768,-75.1431156424344
Von Colln Field,picnic table,39.9638095262565,-75.1762185897108
Carousel House Recreation Center,picnic table,39.9785463813306,-75.2128337223652
Woodside Park,picnic table,40.002217733132,-75.2083496217038
Carousel House Recreation Center,picnic table,39.9794889575187,-75.2135977431533
Jacob Stinger Park,picnic table,39.9364802915055,-75.1977605174424
Stephen E Fotterall Square,picnic table,39.9891584751248,-75.1502967562777
Stephen E Fotterall Square,picnic table,39.9898055676103,-75.1501562637975
Frank Glavin Playground,picnic table,39.9865776372698,-75.1013488105719
Frank Glavin Playground,picnic table,39.9862249234854,-75.1013945962286
George Jacobs Playground,picnic table,40.0523435660869,-75.0024913387225
12th and Cambria Playground,picnic table,39.9968650042839,-75.149832408493
Joseph A Ferko Playground,picnic table,40.0148147624698,-75.1054064783942
Charles J Ziehler Playground,picnic table,40.0337361522356,-75.1181887407935
Northwood Park,picnic table,40.0224583500984,-75.0930362030078
Lawncrest Recreation Center,picnic table,40.0458483595947,-75.1006749813665
Lawncrest Recreation Center,picnic table,40.0462405358062,-75.1006389653349
Lawncrest Recreation Center,picnic table,40.045850925942,-75.1011315350532
Lawncrest Recreation Center,picnic table,40.0457041019978,-75.1008176373304
Alfred J Simpson Memorial Recreation Center,picnic table,40.0216119422285,-75.0933109017385
Boniface Piccoli Playground,picnic table,40.0129796307461,-75.0972901524387
Womrath Park,picnic table,40.0080691852885,-75.0908115084572
Juniata Park Older Adult Center,picnic table,40.0038436499827,-75.1043475308371
